ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset,NEW_STATUS
2,3.0,7.61,0.0,7.61,2,2,2,0,0,2,2,2,0,0,8,5.0,1.0,2.0,3.0,10,17.0,405.0,1,42.0,22667.0,22667.0,0.0,0.0,0.0,22667.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,532.0,1,new data,0
0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,2,-1.0,-1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
1,1.0,73.42,63.35,73.42,3,3,1,1,0,2,1,2,1,0,0,1.0,0.0,0.0,1.0,3,0.0,694.6245,2,46.0,148758.9285,7878.0,2590.0,2590.0,0.0,146168.9285,5600.0,5600.0,0.0,0.0,0.0,0.0,0.0,810.6245,0,new data,0
3,1.0,105.61,105.61,0.0,2,4,0,4,0,0,0,4,3,1,1,1.0,0.0,0.0,1.0,5,82.0,-1.0,1,0.0,2879.0,2879.0,2879.0,2879.0,0.0,0.0,7500.0,7500.0,0.0,123.0,123.0,123.0,123.0,0.0,2,new data,1
1,0.0,151.13,0.0,151.13,1,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,-1.0,52.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2,new data,1
1,0.0,97.65,97.65,0.0,1,1,0,1,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,3,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
1,0.0,69.23,64.26,69.23,2,2,0,1,0,1,0,2,0,1,1,0.0,0.0,0.0,0.0,3,-1.0,222.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,222.0,0,new data,0
1,1.0,9.77,9.77,0.0,1,1,1,1,1,0,0,1,1,0,0,1.0,0.0,0.0,0.0,1,0.0,-1.0,1,0.0,1759.0,1759.0,1759.0,1759.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,new data,0
1,0.0,90.0,90.0,49.9,2,2,0,1,0,1,0,2,1,0,5,0.0,0.0,0.0,0.0,7,5985.0,220.0,1,27.0,8298.0,8298.0,2313.0,2313.0,0.0,5985.0,1500.0,1500.0,0.0,8298.0,8298.0,2313.0,2313.0,220.0,2,new data,1
1,0.0,70.77,70.77,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,121.0,-1.0,1,0.0,121.0,121.0,0.0,121.0,121.0,0.0,121.0,0.0,121.0,121.0,121.0,0.0,121.0,0.0,1,new data,0
3,3.0,119.42,0.0,119.42,2,4,2,0,0,4,2,4,0,0,1,5.0,2.0,2.0,2.0,5,1.0,182.0,2,7.0,4297.0,4297.0,0.0,0.0,0.0,4297.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,472.0,2,new data,1
1,1.0,3.45,0.0,3.45,1,1,1,0,0,1,1,1,0,0,5,1.0,0.0,1.0,1.0,6,0.0,1181.0,1,21.0,24567.0,24567.0,0.0,0.0,0.0,24567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0,0,new data,0
2,0.0,39.68,0.0,39.68,2,2,0,0,0,2,0,2,0,0,6,0.0,0.0,0.0,0.0,8,40925.0,0.0,1,0.0,45757.0,45757.0,0.0,0.0,0.0,45757.0,0.0,0.0,0.0,45269.0,45269.0,0.0,0.0,0.0,2,new data,1
2,0.0,118.0,118.0,13.65,3,3,0,2,0,1,0,2,1,1,0,0.0,0.0,0.0,0.0,4,0.0,1593.0,2,185.0,295132.0,45.0,45.0,45.0,0.0,295087.0,6000.0,1500.0,4500.0,0.0,0.0,0.0,0.0,1593.0,0,new data,0
2,0.0,185.19,185.19,113.23,3,5,0,3,0,2,0,3,2,1,0,0.0,0.0,0.0,0.0,5,0.0,676.277,2,1926.0,161492.6345,1394.0,1394.0,1394.0,0.0,160098.6345,28000.0,7000.0,21000.0,0.0,0.0,0.0,0.0,1089.9994,0,new data,0
2,0.0,21.16,21.16,0.0,1,2,0,2,0,0,0,2,2,0,3,0.0,0.0,0.0,0.0,5,0.0,-1.0,1,0.0,2501.0,2501.0,2501.0,2501.0,0.0,0.0,6800.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
