ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset
2,0.0,38.0,38.0,34.0,2,2,0,1,0,1,0,2,1,0,0,0.0,0.0,0.0,0.0,3,0.0,640.0,2,4.0,2545.0,2545.0,42.0,42.0,0.0,2503.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,640.0,0,bik
1,1.0,119.0,36.0,119.0,3,3,0,1,0,2,0,2,0,1,0,1.0,0.0,0.0,0.0,3,0.0,296.0,2,25.0,25831.0,9519.0,0.0,2006.0,2006.0,23825.0,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0,516.0,0,bik
1,0.0,118.0,118.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,0.0,134.0,134.0,26.0,2,2,0,1,0,1,0,2,0,1,0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,2208.0,2208.0,0.0,269.0,269.0,1939.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0,bik
0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,-1.0,-1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,0.0,35.0,0.0,35.0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,1063.0,2,4332.0,460066.0,0.0,0.0,0.0,0.0,460066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,0,bik
1,1.0,23.0,23.0,2.0,2,2,2,1,0,1,2,2,0,1,3,1.0,1.0,1.0,1.0,5,0.0,386.0,2,6.0,4682.0,4682.0,0.0,2548.0,2548.0,2134.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,386.0,0,bik
1,0.0,136.0,136.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0,bik
2,2.0,23.0,23.0,17.0,3,3,0,1,0,2,0,3,0,1,1,2.0,1.0,1.0,1.0,4,1.0,554.0,1,1.0,19269.0,19269.0,0.0,917.0,917.0,18352.0,1000.0,0.0,1000.0,1.0,1.0,0.0,0.0,643.0,0,bik
1,0.0,20.0,20.0,0.0,1,1,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,1,0.0,4673.0,4673.0,4673.0,4673.0,0.0,0.0,5500.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bik
