ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
3;0;44,39;44,39;32,74;3;6;0;3;0;3;0;6;2;1;12;0;0;0;0;18;15571;491;1;32;36192;36192;1358;15213;13855;20979;20758;2358;18400;36192;36192;1358;15213;491;1
1;0;69,71;0;69,71;1;2;0;0;0;2;0;2;0;0;1;0;0;0;0;3;4580;0;1;0;8596;8596;0;0;0;8596;0;0;0;8596;8596;0;0;0;1
4;0;77,84;0;77,84;2;5;0;0;0;5;0;5;0;0;3;0;0;0;0;8;17429;16101;2;1;42951;42951;0;0;0;42951;0;0;0;42951;42951;0;0;16818;1
2;0;21;21;20,06;2;3;0;1;0;2;0;3;0;1;1;0;0;0;0;4;4291;0;1;0;6557;6557;0;2020;2020;4537;3000;0;3000;6557;6557;0;2020;0;1
3;2;124,26;124,26;6,42;4;4;2;3;0;1;1;4;1;2;8;4;2;2;4;12;1676;1664;1;29;53278;53278;1556;5493;3937;47785;6000;2000;4000;1837;1837;75;161;1664;1
1;5;4,58;0;4,58;1;1;4;0;0;1;3;1;0;0;5;10;1;8;9;6;0;670;1;57;38241;38241;0;0;0;38241;0;0;0;0;0;0;0;670;1
1;0;72,35;0;72,35;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;3770;0;1;0;3770;3770;0;0;0;3770;0;0;0;3770;3770;0;0;0;1
1;0;42,32;42,32;28,81;2;2;0;1;0;1;0;2;0;1;2;0;0;0;0;4;11824;0;1;0;13456;13456;0;1632;1632;11824;2000;0;2000;13456;13456;0;1632;0;1
2;5;57,81;57,81;2,87;3;3;4;2;1;1;3;3;0;2;5;8;1;1;8;9;11;500;2;57;31062;31062;0;2530;2530;28532;2500;0;2500;11;11;0;11;500;1
2;1;17,26;17,26;14,06;2;2;0;1;0;1;0;2;1;0;5;1;0;1;1;7;6;931;2;71;66597;66597;439;439;0;66158;500;500;0;6;6;6;6;931;1
1;1;3,68;0;3,68;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;849;193;1;4;849;849;0;0;0;849;0;0;0;849;849;0;0;193;1
1;0;112,26;0;112,26;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;6594;83;1;79;6594;6594;0;0;0;6594;0;0;0;6594;6594;0;0;83;1
1;0;81,65;81,65;59,03;2;2;0;1;0;1;0;2;0;1;0;0;0;0;0;2;2749;0;1;0;2749;2749;0;0;0;2749;68;0;68;2749;2749;0;0;0;1
2;0;21,87;21,87;16,35;2;2;0;1;0;1;0;2;1;0;5;0;0;0;0;7;81;548;1;50;28978;28978;1718;1718;0;27260;1700;1700;0;81;81;81;81;548;1
1;0;46,84;0;46,84;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;4663;390;1;12;4663;4663;0;0;0;4663;0;0;0;4663;4663;0;0;390;1
1;0;96,81;0;96,81;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;13459;3442;1;4;13459;13459;0;0;0;13459;0;0;0;13459;13459;0;0;3442;1
2;1;121,94;47,61;121,94;2;2;0;1;0;1;0;2;0;1;1;1;0;1;1;3;463;0;2;0;1173;1173;0;710;710;463;1000;0;1000;463;463;0;0;0;1
3;2;34,13;34,13;16,32;3;5;2;3;1;2;1;5;2;1;2;2;0;0;0;8;669;735;1;32;41467;41467;6742;8727;1985;32740;10000;8000;2000;920;920;669;669;985;1
4;2;26,06;20,35;26,06;3;4;0;1;0;3;0;4;0;1;1;3;0;0;3;6;4357;123;1;4;8012;8012;0;4357;4357;3655;4357;0;4357;4662;4662;0;4357;198;1
2;1;122,97;122,97;100,1;2;3;1;2;1;1;0;2;0;2;0;1;0;0;1;3;89108;412;2;137;146228;89736;0;89736;89736;56492;59427;0;59427;89736;89736;0;89736;412;1
4;0;43,06;43,06;39,19;3;6;0;2;0;4;0;6;1;1;2;0;0;0;0;8;15832;676;1;3;19761;19761;1410;2156;746;17605;2085;1410;675;19761;19761;1410;2156;1277;1
