id;ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
6079;3;1;65,65;65,65;24,48;4;5;1;3;1;2;0;4;1;2;1;1;0;0;0;6;0;586,8918;2;10;188435,2906;2687;0;1391;1391;187044,2906;5500;2000;3500;0;0;0;0;716,8918;0
6080;1;1;21,35;;21,35;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;3;;12600;12600;;;;12600;;;;0;0;;;0;0
6081;1;1;47,52;47,52;;1;1;1;1;0;0;1;1;0;1;3;2;1;1;2;4;0;-1;1;;0;0;;0;0;;700;;700;0;0;;0;0;0
6082;1;;92,87;92,87;18,23;2;2;0;1;0;1;0;2;0;1;1;;;;;3;0;0;2;;3029;3029;;0;0;3029;2000;;2000;0;0;;0;0;0
6083;2;;93,1;93,1;;2;2;0;2;0;0;0;2;1;1;0;;;;;2;0;-1;2;;234;234;234;234;0;;4300;4000;300;0;0;0;0;0;0
6084;2;;20,68;;20,68;1;2;0;0;0;2;0;2;0;0;4;;;;;6;0;175;1;9;2605;2605;;;;2605;;;;0;0;;;221;0
6085;3;0;29,48;19,84;29,48;5;5;1;2;0;3;1;4;1;1;5;0;0;0;0;12;0;1518,759;2;10;378163,843;40309;5613;34903;29290;343260,843;37300;5600;31700;0;0;0;0;1898,759;0
6086;2;1;63,1;63,1;1,06;3;3;2;2;1;1;1;3;1;1;0;1;1;1;1;3;11;98;1;22;3602;3602;1469;1469;0;2133;2800;1800;1000;11;11;11;11;98;0
6087;1;;161,52;161,52;;1;1;0;1;0;0;0;1;0;1;0;;;;;1;0;-1;1;;6298;6298;;6298;6298;;13000;;13000;0;0;;0;0;0
6088;1;1;1,42;;1,42;1;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;114;1;8;934;934;;;;934;;;;0;0;;;114;0
6089;1;1;1,16;1,06;1,16;2;2;2;1;1;1;1;2;1;0;0;1;1;1;1;2;0;288;1;11;3143;3143;0;0;;3143;500;500;;0;0;0;0;288;0
6090;2;;18,68;;18,68;2;2;0;0;0;2;0;1;0;0;0;;;;;2;0;681;2;37;180757;6595;;;;180757;;;;0;0;;;858;0
6091;2;1;80,97;80,97;4,68;2;2;1;1;0;1;1;1;0;1;1;3;0;3;3;3;0;1117;2;;0;0;;0;0;;8000;;8000;0;0;;0;1117;0
6092;1;4;38,52;5,16;38,52;3;3;2;1;1;2;1;2;1;0;4;4;3;3;3;7;0;2066;2;11;175558;2914;0;0;;175558;1000;1000;;0;0;0;0;2332;0
